Package,Built
flexmix,3.4.0
FNN,3.4.0
fontBitstreamVera,3.4.0
fontLiberation,3.4.0
fontquiver,3.4.0
forcats,3.4.0
foreach,3.4.3
formatR,3.4.0
formattable,3.4.0
Formula,3.4.1
fpc,3.4.0
fs,3.4.2
futile.logger,3.4.0
futile.options,3.4.0
gage,3.4.1
gageData,3.4.2
gam,3.4.0
gapminder,3.4.2
gclus,3.4.0
gcrma,3.4.0
gdata,3.4.0
gdtools,3.4.1
gee,3.4.0
geepack,3.4.0
genefilter,3.4.0
geneLenDataBase,3.4.2
geneplotter,3.4.0
GeneticsDesign,3.4.0
GenomeInfoDb,3.4.1
GenomeInfoDbData,3.4.2
GenomicAlignments,3.4.1
GenomicFeatures,3.4.1
GenomicRanges,3.4.1
genoset,3.4.0
GEOquery,3.4.0
GGally,3.4.1
ggbeeswarm,3.4.1
ggdendro,3.4.0
ggExtra,3.4.1
ggforce,3.4.0
ggformula,3.4.1
ggplot2,3.4.2
ggplot2movies,3.4.0
ggpubr,3.4.2
ggraph,3.4.2
ggrepel,3.4.2
ggsci,3.4.2
ggsignif,3.4.1
ggThemeAssist,3.4.0
ggthemes,3.4.0
ggvis,3.4.0
gh,3.4.2
git2r,3.4.1
glmnet,3.4.2
glmpath,3.4.0
globaltest,3.4.0
glue,3.4.2
gmodels,3.4.0
GO.db,3.4.2
googledrive,3.4.1
googlesheets,3.4.0
googleVis,3.4.0
goseq,3.4.0
gower,3.4.0
gplots,3.4.0
graph,3.4.0
gridBase,3.4.0
gridExtra,3.4.1
gridSVG,3.4.2
grpreg,3.4.1
GSEABase,3.4.1
gtable,3.4.0
gtools,3.4.0
gutenbergr,3.4.1
Gviz,3.4.0
gWidgets,3.4.0
haven,3.4.1
HDF5Array,3.4.0
hdrcde,3.4.0
heatmap3,3.4.0
heatmaply,3.4.2
here,3.4.0
hexbin,3.4.0
HGNChelper,3.4.1
hgu133plus2cdf,3.4.2
highcharter,3.4.0
highlight,3.4.2
highlite,3.4.2
highr,3.4.0
Hmisc,3.4.0
hms,3.4.3
hoardr,3.4.0
hom.Mm.inp.db,3.4.2
hrbrthemes,3.4.0
HSMMSingleCell,3.4.2
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.3
hwriter,3.4.0
ICC,3.4.0
igraph,3.4.1
IHW,3.4.0
illuminaio,3.4.0
impute,3.4.0
infer,3.4.2
influenceR,3.4.0
ini,3.4.2
interactiveDisplayBase,3.4.0
ipred,3.4.0
IRanges,3.4.1
irlba,3.4.2
irr,3.4.0
iterators,3.4.3
janeaustenr,3.4.0
janitor,3.4.2
jsonlite,3.4.0
kableExtra,3.4.2
KEGGREST,3.4.1
kernlab,3.4.0
klaR,3.4.0
km.ci,3.4.0
KMsurv,3.4.0
knitcitations,3.4.1
knitr,3.4.1
ks,3.4.1
labeling,3.4.0
laeken,3.4.0
Lahman,3.4.1
lambda.r,3.4.1
lars,3.4.0
lasso2,3.4.0
latticeExtra,3.4.0
lava,3.4.2
lazyeval,3.4.2
leaps,3.4.0
learnr,3.4.2
LiblineaR,3.4.0
limma,3.4.2
limSolve,3.4.1
Linnorm,3.4.1
lme4,3.4.2
lmerTest,3.4.3
Lmoments,3.4.0
lmtest,3.4.0
locfit,3.4.0
lokern,3.4.0
lookup,3.4.2
lpSolve,3.4.0
lpsymphony,3.4.0
lsmeans,3.4.2
lubridate,3.4.2
lumi,3.4.0
magrittr,3.4.0
mapdata,3.4.0
mapproj,3.4.0
maps,3.4.0
markdown,3.4.0
MAST,3.4.0
Matching,3.4.0
MatchIt,3.4.0
matlab,3.4.0
MatrixModels,3.4.0
matrixStats,3.4.0
maxLik,3.4.0
maxstat,3.4.0
mclust,3.4.3
mcmc,3.4.0
MCMCpack,3.4.3
mdsr,3.4.1
memisc,3.4.3
memoise,3.4.2
MetabolAnalyze,3.4.0
MetaSKAT,3.4.0
methyAnalysis,3.4.0
methylumi,3.4.0
microRNA,3.4.0
mime,3.4.0
minfi,3.4.0
miniUI,3.4.0
minpack.lm,3.4.0
minqa,3.4.0
misc3d,3.4.0
miscTools,3.4.0
MiST,3.4.0
MixAll,3.4.0
mlbench,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
modeltools,3.4.0
moments,3.4.0
monocle,3.4.0
mosaic,3.4.3
mosaicCore,3.4.3
mosaicData,3.4.0
mouse430a2.db,3.4.2
mouse430a2cdf,3.4.2
msir,3.4.0
multcomp,3.4.2
multicool,3.4.0
multtest,3.4.0
munsell,3.4.0
mvoutlier,3.4.0
mvtnorm,3.4.0
naniar,3.4.1
ncdf4,3.4.0
networkD3,3.4.0
NHANES,3.4.0
nleqslv,3.4.1
nloptr,3.4.0
NMF,3.4.0
nnls,3.4.0
NOISeq,3.4.0
nor1mix,3.4.1
nortest,3.4.0
numDeriv,3.4.0
nycflights13,3.4.0
officer,3.4.3
okcupiddata,3.4.0
oligo,3.4.1
oligoClasses,3.4.0
oneKP,3.4.2
openair,3.4.1
openssl,3.4.2
org.Hs.eg.db,3.4.2
org.Mm.eg.db,3.4.2
outliers,3.4.0
packrat,3.4.0
pacman,3.4.0
pander,3.4.1
pbkrtest,3.4.0
pcaMethods,3.4.0
pcaPP,3.4.1
pcvsuite,3.4.2
pd.hta.2.0,3.4.2
pd.mogene.2.0.st,3.4.2
pd.mta.1.0,3.4.2
pd.rabgene.1.0.st,3.4.2
penalized,3.4.0
permute,3.4.0
pheatmap,3.4.0
phyloseq,3.4.0
pillar,3.4.3
pkgconfig,3.4.0
pkgmaker,3.4.0
PKI,3.4.1
plogr,3.4.0
plotly,3.4.1
plotmo,3.4.1
plotrix,3.4.3
pls,3.4.0
plyr,3.4.0
png,3.4.0
polspline,3.4.0
powerGWASinteraction,3.4.0
powerSurvEpi,3.4.0
ppcor,3.4.0
prabclus,3.4.0
pracma,3.4.3
praise,3.4.0
preprocessCore,3.4.0
prettydoc,3.4.0
prettyunits,3.4.0
printr,3.4.0
pROC,3.4.0
processx,3.4.1
prodlim,3.4.0
profvis,3.4.3
progress,3.4.0
ProtGenerics,3.4.0
proto,3.4.0
proxy,3.4.3
pryr,3.4.2
pscl,3.4.2
psych,3.4.2
purrr,3.4.2
purrrlyr,3.4.0
pwr,3.4.0
qap,3.4.0
qlcMatrix,3.4.0
qqman,3.4.0
quadprog,3.4.0
quantmod,3.4.3
quantreg,3.4.2
qvalue,3.4.0
R.cache,3.4.0
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R2HTML,3.4.0
R6,3.4.0
rafalib,3.4.0
randomForest,3.4.0
rappdirs,3.4.0
rARPACK,3.4.0
RBGL,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
RefManageR,3.4.1
registry,3.4.3
rematch,3.4.0
rematch2,3.4.1
remedy,3.4.2
repmis,3.4.0
repr,3.4.0
reprex,3.4.0
repurrrsive,3.4.1
reshape,3.4.1
reshape2,3.4.3
revealjs,3.4.0
rex,3.4.2
RGA,3.4.0
rgenoud,3.4.2
rgexf,3.4.0
rgl,3.4.3
RgoogleMaps,3.4.0
Rgraphviz,3.4.0
rhdf5,3.4.0
rhesuscdf,3.4.2
rJava,3.4.2
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.2
rlist,3.4.0
rmarkdown,3.4.2
Rmisc,3.4.0
rms,3.4.0
RMTstat,3.4.0
RMySQL,3.4.1
RNASeqPower,3.4.0
RnaSeqSampleSize,3.4.1
RnaSeqSampleSizeData,3.4.2
rngtools,3.4.0
robCompositions,3.4.1
robust,3.4.0
robustbase,3.4.2
ROCR,3.4.0
Rook,3.4.0
ROTS,3.4.0
roxygen2,3.4.0
RPostgreSQL,3.4.1
rprojroot,3.4.0
RPushbullet,3.4.0
rrcov,3.4.0
Rsamtools,3.4.0
rsconnect,3.4.1
RSpectra,3.4.0
RSQLite,3.4.1
rstudioapi,3.4.1
rsvd,3.4.3
rtkore,3.4.0
rtracklayer,3.4.2
Rtsne,3.4.0
Rttf2pt1,3.4.3
RUVSeq,3.4.0
rversions,3.4.0
rvest,3.4.0
S4Vectors,3.4.1
samplesize,3.4.0
sandwich,3.4.1
sbfc,3.4.0
scales,3.4.2
scater,3.4.0
scatterplot3d,3.4.0
scDD,3.4.0
scde,3.4.0
SCnorm,3.4.2
scran,3.4.1
selectr,3.4.0
seriation,3.4.0
servr,3.4.2
setRNG,3.4.0
sfsmisc,3.4.0
sgeostat,3.4.0
shiny,3.4.2
shinyBS,3.4.0
shinydashboard,3.4.0
shinyIncubator,3.4.2
shinyjs,3.4.1
shinysense,3.4.2
shinythemes,3.4.0
ShortRead,3.4.1
siggenes,3.4.0
SKAT,3.4.1
slam,3.4.0
slidify,3.4.2
slidifyLibraries,3.4.2
smoother,3.4.0
snakecase,3.4.3
snow,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.1
spam,3.4.1
sparklyr,3.4.2
SparseM,3.4.0
sROC,3.4.0
ssize,3.4.0
ssize.fdr,3.4.0
ssizeRNA,3.4.2
stargazer,3.4.0
statmod,3.4.0
stepPlr,3.4.0
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
SummarizedExperiment,3.4.1
SuperLearner,3.4.1
survey,3.4.1
survminer,3.4.2
survMisc,3.4.0
survSNP,3.4.0
sva,3.4.0
svd,3.4.2
SVGAnnotation,3.0.0
svglite,3.4.1
tableone,3.4.0
taxizedb,3.4.2
TeachingDemos,3.4.0
testthat,3.4.2
texreg,3.4.0
TH.data,3.4.0
tibble,3.4.3
tidyr,3.4.2
tidyselect,3.4.2
tidyshiny,3.4.2
tidytext,3.4.2
tidyverse,3.4.2
timeDate,3.4.2
tokenizers,3.4.0
topGO,3.4.0
triebeard,3.4.0
trimcluster,3.4.0
TSP,3.4.0
TTR,3.4.1
tweenr,3.4.0
twitteR,3.4.0
TxDb.Hsapiens.UCSC.hg19.knownGene,3.4.2
tximport,3.4.0
udunits2,3.4.0
units,3.4.3
urltools,3.4.0
usethis,3.4.3
utf8,3.4.3
uuid,3.4.0
VariantAnnotation,3.4.0
vcd,3.4.2
vdiffr,3.4.2
vegan,3.4.3
Vennerable,3.4.2
VGAM,3.4.1
VIM,3.4.0
vipor,3.4.0
viridis,3.4.0
viridisLite,3.4.0
visdat,3.4.1
visNetwork,3.4.1
vsn,3.4.0
WDI,3.4.0
webshot,3.4.3
whisker,3.4.0
withr,3.4.2
writexl,3.4.1
xlsx,3.4.0
xlsxjars,3.4.0
XML,3.4.1
xml2,3.4.3
xtable,3.4.0
xts,3.4.1
XVector,3.4.0
yaml,3.4.3
zebrafishRNASeq,3.4.2
Zelig,3.4.2
zip,3.4.0
zlibbioc,3.4.0
zoo,3.4.0
