Package,LibPath,Version,Priority,Built
ash,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-15,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
atus,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.1
babynames,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.2
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
base64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0,NA,3.4.0
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
baySeq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.10.0,NA,3.4.0
bbmle,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.20,NA,3.4.2
beadarray,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.26.1,NA,3.4.0
BeadDataPackR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.28.0,NA,3.4.0
beanplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
beeswarm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.0
bestglm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.36,NA,3.4.0
betareg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-0,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
BiasedUrn,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.07,NA,3.4.0
bibtex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
Biobase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.36.2,NA,3.4.0
BiocGenerics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.22.1,NA,3.4.1
BiocInstaller,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.26.1,NA,3.4.1
BiocParallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.1,NA,3.4.0
BiocStyle,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4.1,NA,3.4.1
biomaRt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.32.1,NA,3.4.0
biomformat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.0,NA,3.4.0
Biostrings,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.44.2,NA,3.4.1
biovizBase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.24.0,NA,3.4.0
BiSeq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.16.0,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bit64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-7,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blob,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
blockmodeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.9,NA,3.4.1
blockrand,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3,NA,3.4.0
blogdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.3
bookdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.1
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.2
BPSC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.99.1,NA,3.4.2
brew,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
broman,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.67-4,NA,3.4.3
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.2
BSgenome,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.44.2,NA,3.4.1
bsseq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.12.2,NA,3.4.1
bsseqData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.14.0,NA,3.4.2
bumphunter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.16.0,NA,3.4.0
Cairo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-9,NA,3.4.0
calibrate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.2,NA,3.4.0
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
car,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-6,NA,3.4.3
caret,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,6.0-78,NA,3.4.3
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cba,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-19,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
checkmate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.5,NA,3.4.2
chron,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-51,NA,3.4.2
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.2
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.2
cmprsk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2-7,NA,3.4.0
cobs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-3,NA,3.4.0
coda,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19-1,NA,3.4.0
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.2
coin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.3
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
colourpicker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.2
combinat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-8,NA,3.4.0
CombinePValue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.0
commonmark,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4,NA,3.4.1
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
CompQuadForm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.0
config,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
corrplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.84,NA,3.4.2
countrycode,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19,NA,3.4.0
cowplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.2,NA,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1,NA,3.4.3
cvAUC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
CVST,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-1,NA,3.4.0
cvTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
ddalpha,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.2
DDRTree,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
debugme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
DEDS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.50.0,NA,3.4.0
DelayedArray,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.7,NA,3.4.0
dendextend,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.0,NA,3.4.2
densityClust,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.2
DEoptimR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.0
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
DESeq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.28.0,NA,3.4.0
DESeq2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.16.1,NA,3.4.0
destiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4.5,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.4,NA,3.4.2
DiagrammeR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.2,NA,3.4.1
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.14,NA,3.4.3
dimRed,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
diptest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.75-7,NA,3.4.0
discretization,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-1,NA,3.4.0
distillery,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-4,NA,3.4.1
docthis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.2
doParallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.11,NA,3.4.2
doRNG,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.6,NA,3.4.0
dotCall64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-5,NA,3.4.3
downloader,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
drc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0-1,NA,3.4.0
DrImpute,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.1
DRR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.2,NA,3.4.0
DSIExplore,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.2
DSS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.16.0,NA,3.4.0
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
dynamicTreeCut,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.63-1,NA,3.4.0
e1071,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6-8,NA,3.4.0
earth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.6.0,NA,3.4.3
EBSeq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.16.0,NA,3.4.0
EDASeq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.10.0,NA,3.4.0
edgeR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.18.1,NA,3.4.0
ellipse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-8,NA,3.4.0
emrselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.9000,NA,3.4.2
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
EnsDb.Mmusculus.v79,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.0,NA,3.4.2
ensembldb,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.4,NA,3.4.1
epiR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-93,NA,3.4.3
estimability,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
exactRankTests,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-29,NA,3.4.0
explainr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
extrafont,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.17,NA,3.4.0
extrafontdb,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.0
extRemes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-8,NA,3.4.0
ezknitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
faraway,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.7,NA,3.4.0
fastcluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.24,NA,3.4.1
fastICA,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-1,NA,3.4.0
FDb.InfiniumMethylation.hg19,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.0,NA,3.4.2
fdrtool,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.15,NA,3.4.0
ff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2-13,NA,3.4.0
fields,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,9.0,NA,3.4.0
fit.models,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5-14,NA,3.4.0
fivethirtyeight,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.1
flexdashboard,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.3
flexmix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-14,NA,3.4.0
FNN,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1,NA,3.4.0
fontBitstreamVera,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
fontLiberation,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
fontquiver,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.0
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreach,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.4,NA,3.4.3
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.2
formatR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
formattable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0.1,NA,3.4.0
Formula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.1
fpc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-10,NA,3.4.0
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
futile.logger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.0
futile.options,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
gage,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.26.3,NA,3.4.1
gageData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.14.0,NA,3.4.2
gam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.14-4,NA,3.4.0
gapminder,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
gclus,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.0
gcrma,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.48.0,NA,3.4.0
gdata,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.18.0,NA,3.4.0
gdtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.1
gee,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.13-19,NA,3.4.0
geepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-1,NA,3.4.0
genefilter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.58.1,NA,3.4.0
geneLenDataBase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.12.0,NA,3.4.2
geneplotter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.54.0,NA,3.4.0
GeneticsDesign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.44.0,NA,3.4.0
GenomeInfoDb,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.12.3,NA,3.4.1
GenomeInfoDbData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.99.0,NA,3.4.2
GenomicAlignments,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.12.2,NA,3.4.1
GenomicFeatures,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.28.5,NA,3.4.1
GenomicRanges,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.28.6,NA,3.4.1
genoset,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.32.0,NA,3.4.0
GEOquery,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.42.0,NA,3.4.0
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.1
ggbeeswarm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.0,NA,3.4.1
ggdendro,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-20,NA,3.4.0
ggExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
ggforce,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
ggformula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.1
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1.9000,NA,3.4.2
ggplot2movies,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.1,NA,3.4.0
ggpubr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.2
ggraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.2
ggrepel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.0,NA,3.4.2
ggsci,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.8,NA,3.4.2
ggsignif,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.1
ggThemeAssist,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
ggthemes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.0,NA,3.4.0
ggvis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.2
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19.0,NA,3.4.1
glmnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-13,NA,3.4.2
glmpath,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.97,NA,3.4.0
globaltest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.30.0,NA,3.4.0
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gmodels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.16.2,NA,3.4.0
GO.db,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,NA,3.4.2
googledrive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
googlesheets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
googleVis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.2,NA,3.4.0
goseq,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.28.0,NA,3.4.0
gower,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.0
gplots,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0.1,NA,3.4.0
graph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.54.0,NA,3.4.0
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
gridBase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-7,NA,3.4.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gridSVG,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6-0,NA,3.4.2
grpreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-2,NA,3.4.1
GSEABase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.38.2,NA,3.4.1
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
gtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.5.0,NA,3.4.0
gutenbergr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.3,NA,3.4.1
Gviz,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.20.0,NA,3.4.0
gWidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-54,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
HDF5Array,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.8,NA,3.4.0
hdrcde,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1,NA,3.4.0
heatmap3,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
heatmaply,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.13.0,NA,3.4.2
here,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
hexbin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.27.1,NA,3.4.0
HGNChelper,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.1
hgu133plus2cdf,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.18.0,NA,3.4.2
highcharter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.0
highlight,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.7.2,NA,3.4.2
highlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.0.9000,NA,3.4.2
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0-3,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.3
hoardr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
hom.Mm.inp.db,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1.2,NA,3.4.2
hrbrthemes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
HSMMSingleCell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.110.0,NA,3.4.2
htmlTable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.11.0,NA,3.4.3
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
hunspell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.9,NA,3.4.3
hwriter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.0
ICC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.0,NA,3.4.0
igraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.1
IHW,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.0,NA,3.4.0
illuminaio,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.18.0,NA,3.4.0
impute,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.50.1,NA,3.4.0
infer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.1,NA,3.4.2
